"Age","Gender","PID","MusExp","Rating","Track","Experiment","Scale"
55,"Female","E2_S3","Musician",3,"Calmness","Exp2","POWER"
55,"Female","E2_S3","Musician",1,"Calmness","Exp2","SURPRISE"
55,"Female","E2_S3","Musician",3,"Anger","Exp2","SADNESS"
55,"Female","E2_S3","Musician",2,"Anger","Exp2","CALMNESS"
55,"Female","E2_S3","Musician",1,"Anger","Exp2","JOY"
55,"Female","E2_S3","Musician",2,"Anger","Exp2","ANGER"
55,"Female","E2_S3","Musician",4,"Anger","Exp2","FEAR"
55,"Female","E2_S3","Musician",3,"Anger","Exp2","POWER"
55,"Female","E2_S3","Musician",3,"Anger","Exp2","SURPRISE"
55,"Female","E2_S3","Musician",3,"Fear","Exp2","SADNESS"
55,"Female","E2_S3","Musician",3,"Fear","Exp2","CALMNESS"
55,"Female","E2_S3","Musician",2,"Fear","Exp2","JOY"
55,"Female","E2_S3","Musician",1,"Fear","Exp2","ANGER"
55,"Female","E2_S3","Musician",5,"Fear","Exp2","FEAR"
55,"Female","E2_S3","Musician",3,"Fear","Exp2","POWER"
55,"Female","E2_S3","Musician",2,"Fear","Exp2","SURPRISE"
55,"Female","E2_S3","Musician",1,"Power","Exp2","SADNESS"
55,"Female","E2_S3","Musician",3,"Power","Exp2","CALMNESS"
55,"Female","E2_S3","Musician",4,"Power","Exp2","JOY"
55,"Female","E2_S3","Musician",1,"Power","Exp2","ANGER"
55,"Female","E2_S3","Musician",1,"Power","Exp2","FEAR"
55,"Female","E2_S3","Musician",3,"Power","Exp2","POWER"
55,"Female","E2_S3","Musician",1,"Power","Exp2","SURPRISE"
55,"Female","E2_S3","Musician",2,"Surprise","Exp2","SADNESS"
55,"Female","E2_S3","Musician",1,"Surprise","Exp2","CALMNESS"
55,"Female","E2_S3","Musician",1,"Surprise","Exp2","JOY"
55,"Female","E2_S3","Musician",1,"Surprise","Exp2","ANGER"
55,"Female","E2_S3","Musician",1,"Surprise","Exp2","FEAR"
55,"Female","E2_S3","Musician",4,"Surprise","Exp2","POWER"
55,"Female","E2_S3","Musician",5,"Surprise","Exp2","SURPRISE"
29,"Female","E1_S4","Nonmusician",3,"Sadness","Exp1","SADNESS"
29,"Female","E1_S4","Nonmusician",3,"Sadness","Exp1","CALMNESS"
29,"Female","E1_S4","Nonmusician",1,"Sadness","Exp1","JOY"
